iter	MultiClass
0	0.9163817884
1	0.7813290854
2	0.6761904935
3	0.5918950108
4	0.5226056685
5	0.4644259959
6	0.4149660943
7	0.3727902854
8	0.3362879122
9	0.3050151512
10	0.2775487228
11	0.2530286377
12	0.2315764937
13	0.2132144903
14	0.1965656371
15	0.1820656929
16	0.1690754791
17	0.1577401269
18	0.1476479509
19	0.1385788906
20	0.1303919911
21	0.1233321381
22	0.1169373122
23	0.1111401941
24	0.1059272833
25	0.1015079228
26	0.09743055699
27	0.09380744336
28	0.09083910628
29	0.08852852032
30	0.08584340389
31	0.08335723728
32	0.08121568179
33	0.07933543964
34	0.07766670732
35	0.07602286632
36	0.07446812026
37	0.07325348437
38	0.07238010266
39	0.07175083877
40	0.07064503103
41	0.06978036472
42	0.0692222111
43	0.06833044004
44	0.0676152449
45	0.06721049467
46	0.06688878865
47	0.06639888982
48	0.06576298188
49	0.06531723567
50	0.06504206266
51	0.06498381441
52	0.06466305179
53	0.06449802007
54	0.06419338919
55	0.06398572952
56	0.06365235202
57	0.06354706131
58	0.06352914763
59	0.06334335412
60	0.06326894529
61	0.06308814156
62	0.06305107439
63	0.06296575912
64	0.06268079176
65	0.06256948053
66	0.0624860379
67	0.06246029556
68	0.06241295755
69	0.06226583617
70	0.06216672866
71	0.06216435099
72	0.06211888111
73	0.06196895272
74	0.06189124783
75	0.06185299228
76	0.0617613912
77	0.06172198393
78	0.06161293578
79	0.06155463621
80	0.06147855591
81	0.06142650544
82	0.06129239835
83	0.06118950231
84	0.06116912837
85	0.06112844245
86	0.06101579362
87	0.06097581358
88	0.06089159256
89	0.06088275083
90	0.06083826628
91	0.06083170229
92	0.06079347164
93	0.0607782975
94	0.06073948548
95	0.06073058972
96	0.0607057903
97	0.06070178856
98	0.06064139895
99	0.06059592841
100	0.06053409438
101	0.0605173903
102	0.06051737139
103	0.06044441643
104	0.06036281559
105	0.06032750418
106	0.06025884354
107	0.06020370752
108	0.06015841269
109	0.06015839975
110	0.06009619524
111	0.06009618714
112	0.06006618117
113	0.06000880488
114	0.05994740752
115	0.05992214273
116	0.0599020776
117	0.05989830388
118	0.05986477699
119	0.05980176259
120	0.05979475456
121	0.05975475802
122	0.05975166241
123	0.0597411879
124	0.05971148685
125	0.05967235702
126	0.05963581958
127	0.05958537116
128	0.05955775468
129	0.05952069087
130	0.05949010737
131	0.0593457636
132	0.0592623983
133	0.05920550487
134	0.05916548457
135	0.05914271397
136	0.05910784155
137	0.05895601745
138	0.05889323961
139	0.05883497707
140	0.05866425149
141	0.05860684835
142	0.0585444318
143	0.05849857592
144	0.05846422047
145	0.05840213142
146	0.05831052137
147	0.05827187178
148	0.05816824832
149	0.05813261029
150	0.0580106289
151	0.05797458128
152	0.05792443336
153	0.05787782436
154	0.05784322093
155	0.0578232424
156	0.05780143328
157	0.05776369293
158	0.05768490561
159	0.05759871681
160	0.05752649404
161	0.05748772474
162	0.05745948714
163	0.05743214422
164	0.05739776072
165	0.05735459633
166	0.05728052008
167	0.05723233565
168	0.05718950176
169	0.0571570521
170	0.05711842143
